tenure,age,income,ed,employ,longmon,custcat,churn
67.0,60.0,93.0,1.0,21.0,18.85,2.0,0.0
60.0,45.0,117.0,4.0,11.0,12.4,4.0,0.0
70.0,55.0,65.0,3.0,24.0,26.7,3.0,0.0
6.0,24.0,28.0,1.0,5.0,4.4,3.0,1.0
38.0,33.0,38.0,4.0,0.0,10.95,2.0,0.0
53.0,35.0,59.0,3.0,5.0,16.85,3.0,0.0
37.0,76.0,117.0,4.0,21.0,7.5,1.0,0.0
61.0,45.0,80.0,2.0,13.0,18.1,2.0,0.0
20.0,31.0,39.0,2.0,3.0,7.75,1.0,0.0
72.0,60.0,12.0,1.0,20.0,53.75,4.0,0.0
61.0,43.0,34.0,5.0,6.0,25.05,4.0,1.0
54.0,27.0,27.0,2.0,6.0,12.4,4.0,0.0
28.0,36.0,42.0,3.0,7.0,12.9,3.0,0.0
52.0,42.0,27.0,3.0,8.0,19.65,3.0,0.0
43.0,27.0,21.0,2.0,1.0,12.65,2.0,0.0
46.0,45.0,96.0,3.0,17.0,10.95,2.0,0.0
39.0,59.0,1668.0,4.0,27.0,8.2,2.0,0.0
10.0,34.0,52.0,5.0,3.0,4.3,2.0,1.0
69.0,46.0,66.0,2.0,19.0,21.85,2.0,0.0
45.0,30.0,63.0,5.0,4.0,7.1,4.0,1.0
52.0,62.0,36.0,4.0,17.0,13.35,1.0,0.0
42.0,36.0,44.0,2.0,11.0,7.0,3.0,0.0
5.0,44.0,83.0,1.0,16.0,4.65,2.0,1.0
10.0,33.0,66.0,3.0,9.0,7.1,1.0,1.0
26.0,30.0,18.0,4.0,1.0,7.25,4.0,1.0
25.0,30.0,20.0,1.0,4.0,8.55,3.0,0.0
30.0,23.0,19.0,3.0,1.0,7.9,2.0,0.0
65.0,59.0,197.0,4.0,26.0,45.4,2.0,0.0
5.0,32.0,33.0,4.0,3.0,3.2,1.0,1.0
7.0,23.0,27.0,2.0,1.0,3.65,1.0,0.0
25.0,29.0,55.0,4.0,1.0,5.25,1.0,1.0
8.0,22.0,25.0,4.0,0.0,8.0,3.0,0.0
39.0,47.0,68.0,4.0,10.0,8.3,2.0,1.0
28.0,36.0,69.0,3.0,2.0,6.05,4.0,0.0
55.0,52.0,127.0,1.0,28.0,7.05,2.0,0.0
11.0,63.0,41.0,3.0,3.0,4.15,1.0,1.0
51.0,48.0,58.0,1.0,18.0,19.2,3.0,1.0
25.0,62.0,28.0,4.0,33.0,8.3,4.0,1.0
62.0,76.0,35.0,3.0,18.0,17.25,2.0,0.0
53.0,33.0,60.0,1.0,6.0,17.65,4.0,0.0
1.0,30.0,135.0,4.0,3.0,1.1,1.0,1.0
20.0,32.0,19.0,3.0,5.0,6.85,2.0,0.0
34.0,63.0,23.0,2.0,0.0,14.3,4.0,0.0
44.0,45.0,88.0,1.0,21.0,11.9,3.0,0.0
12.0,23.0,24.0,4.0,0.0,3.2,4.0,0.0
39.0,34.0,20.0,5.0,3.0,9.55,4.0,0.0
19.0,26.0,48.0,3.0,0.0,7.55,3.0,0.0
7.0,27.0,39.0,3.0,2.0,3.55,1.0,1.0
32.0,34.0,38.0,1.0,10.0,7.35,2.0,0.0
35.0,34.0,78.0,4.0,10.0,13.9,1.0,0.0
56.0,42.0,24.0,2.0,5.0,33.65,3.0,0.0
5.0,47.0,46.0,1.0,6.0,2.95,1.0,1.0
16.0,50.0,263.0,2.0,29.0,3.75,3.0,0.0
17.0,42.0,31.0,2.0,2.0,8.25,4.0,1.0
9.0,24.0,26.0,4.0,1.0,7.65,1.0,0.0
9.0,41.0,39.0,4.0,3.0,4.7,1.0,1.0
71.0,41.0,73.0,2.0,23.0,32.65,3.0,0.0
11.0,26.0,53.0,3.0,3.0,4.15,4.0,1.0
23.0,50.0,151.0,4.0,8.0,8.25,1.0,0.0
24.0,58.0,24.0,1.0,5.0,7.65,1.0,0.0
4.0,24.0,17.0,2.0,2.0,3.2,1.0,1.0
10.0,28.0,75.0,4.0,1.0,6.2,4.0,1.0
24.0,35.0,41.0,5.0,6.0,3.3,2.0,0.0
12.0,31.0,18.0,4.0,4.0,3.7,1.0,1.0
59.0,55.0,42.0,3.0,21.0,8.95,2.0,0.0
72.0,75.0,14.0,2.0,6.0,37.3,2.0,0.0
67.0,40.0,59.0,3.0,11.0,27.0,3.0,0.0
10.0,40.0,22.0,3.0,6.0,5.05,1.0,1.0
30.0,28.0,20.0,1.0,8.0,12.4,1.0,1.0
24.0,46.0,43.0,2.0,6.0,12.05,4.0,0.0
72.0,75.0,33.0,1.0,44.0,49.3,2.0,0.0
26.0,43.0,51.0,5.0,4.0,7.9,2.0,1.0
36.0,45.0,117.0,3.0,15.0,10.5,2.0,0.0
16.0,54.0,147.0,1.0,29.0,6.95,3.0,0.0
54.0,42.0,55.0,4.0,2.0,14.3,4.0,1.0
72.0,62.0,163.0,5.0,31.0,28.35,4.0,0.0
19.0,32.0,71.0,4.0,5.0,5.25,4.0,1.0
18.0,25.0,26.0,2.0,7.0,3.3,1.0,0.0
45.0,34.0,43.0,4.0,0.0,6.55,2.0,1.0
17.0,41.0,28.0,4.0,3.0,1.8,1.0,0.0
8.0,42.0,129.0,4.0,17.0,6.1,1.0,0.0
66.0,62.0,47.0,2.0,4.0,34.25,2.0,0.0
60.0,57.0,72.0,5.0,30.0,20.35,4.0,0.0
63.0,37.0,45.0,4.0,9.0,14.95,2.0,0.0
45.0,27.0,39.0,3.0,2.0,13.45,2.0,0.0
68.0,42.0,89.0,4.0,12.0,25.6,2.0,0.0
6.0,29.0,19.0,2.0,5.0,4.2,1.0,0.0
70.0,35.0,48.0,2.0,9.0,43.6,2.0,0.0
24.0,25.0,28.0,4.0,0.0,10.6,2.0,0.0
19.0,35.0,58.0,3.0,5.0,3.65,4.0,1.0
5.0,43.0,72.0,3.0,17.0,5.55,3.0,0.0
14.0,40.0,398.0,5.0,11.0,6.4,4.0,1.0
17.0,39.0,45.0,4.0,10.0,8.65,1.0,1.0
59.0,32.0,73.0,4.0,5.0,29.2,2.0,1.0
60.0,53.0,171.0,1.0,37.0,9.9,3.0,0.0
53.0,37.0,25.0,1.0,2.0,5.4,3.0,0.0
14.0,26.0,25.0,2.0,0.0,4.4,3.0,0.0
17.0,19.0,18.0,2.0,0.0,7.1,2.0,1.0
69.0,42.0,19.0,3.0,0.0,25.95,1.0,0.0
10.0,20.0,20.0,2.0,0.0,5.9,1.0,1.0
21.0,43.0,41.0,2.0,1.0,6.15,4.0,1.0
64.0,37.0,44.0,4.0,9.0,16.15,2.0,0.0
60.0,56.0,51.0,4.0,11.0,15.25,4.0,0.0
58.0,37.0,64.0,4.0,8.0,10.8,4.0,1.0
72.0,61.0,61.0,1.0,8.0,27.35,2.0,0.0
18.0,34.0,42.0,2.0,14.0,6.45,4.0,0.0
70.0,36.0,50.0,1.0,15.0,20.55,2.0,0.0
7.0,38.0,70.0,4.0,4.0,3.85,4.0,1.0
71.0,53.0,48.0,4.0,0.0,34.95,3.0,0.0
31.0,46.0,144.0,4.0,13.0,7.6,3.0,0.0
16.0,49.0,41.0,2.0,5.0,4.1,4.0,0.0
59.0,26.0,41.0,4.0,1.0,12.65,2.0,1.0
9.0,40.0,38.0,4.0,7.0,3.35,4.0,1.0
12.0,55.0,36.0,1.0,5.0,5.95,2.0,1.0
3.0,32.0,58.0,2.0,11.0,2.75,4.0,1.0
52.0,39.0,119.0,3.0,18.0,10.5,1.0,0.0
18.0,69.0,11.0,1.0,17.0,3.85,1.0,0.0
43.0,29.0,33.0,1.0,13.0,22.05,3.0,0.0
37.0,33.0,41.0,3.0,8.0,9.2,2.0,1.0
51.0,46.0,107.0,2.0,21.0,17.3,3.0,0.0
56.0,53.0,100.0,5.0,14.0,14.15,2.0,0.0
72.0,55.0,82.0,3.0,25.0,62.3,2.0,0.0
32.0,44.0,201.0,2.0,24.0,7.65,3.0,0.0
51.0,49.0,45.0,1.0,16.0,15.7,1.0,0.0
26.0,55.0,61.0,1.0,26.0,4.25,3.0,0.0
34.0,40.0,23.0,4.0,9.0,5.95,4.0,0.0
20.0,25.0,33.0,4.0,0.0,4.55,1.0,0.0
58.0,36.0,39.0,2.0,8.0,16.4,4.0,1.0
25.0,38.0,56.0,1.0,19.0,10.55,3.0,0.0
66.0,50.0,333.0,5.0,24.0,10.3,2.0,0.0
71.0,48.0,288.0,3.0,19.0,30.9,1.0,0.0
6.0,20.0,25.0,2.0,0.0,1.9,3.0,0.0
26.0,30.0,76.0,3.0,7.0,9.45,1.0,0.0
61.0,52.0,82.0,1.0,18.0,12.1,3.0,0.0
57.0,60.0,14.0,2.0,27.0,16.1,3.0,0.0
55.0,44.0,83.0,1.0,23.0,17.35,3.0,0.0
34.0,23.0,24.0,1.0,7.0,6.0,3.0,0.0
6.0,32.0,47.0,1.0,10.0,3.85,3.0,0.0
24.0,30.0,25.0,4.0,5.0,8.7,4.0,1.0
61.0,50.0,190.0,2.0,22.0,16.85,2.0,0.0
